PstId|PhoId|StiBezeichnungS|StiSynonymS
7454|87995|Död|
7455|87992|Död|
7457|87996|Webbprojektet|
7458|87996|Vapen|
7459|87996|Stämningsbild|Detalj Marknadsföring
7460|87997|Webbprojektet|
7461|87997|Hästrustning|Hästrustningar Blankvapen
7462|87997|Detalj|Närbild Detaljer
7463|87997|Stämningsbild|Detalj Marknadsföring
7464|87997|Grått|Gråa
7576|89019|Webbprojektet|
7577|89019|Puttisar|Änglar Mytologi Cheruber
7578|89019|Detalj|Närbild Detaljer
7585|89020|Webbprojektet|
7586|89020|Ringar|
7587|89021|Webbprojektet|
7588|89021|Pappersdokument|
7589|89021|Handskrift|Handskrifter
7590|89022|Webbprojektet|
7591|89022|Anckarström|
7592|89022|Mask|Masker
7593|89023|Webbprojektet|
7594|89023|Skylt|Skyltar
7595|89023|Exteriör|Exteriörer Arkitektur
7644|89035|Marknadsföring|Bild använd i marknadsföring
7645|89035|Syntolkad Visning|Marknadsföring
7646|89035|Värja|Blankvapen
