PstId|PhoId|StiBezeichnungS|StiSynonymS
6815|87632|Klänning|Klänningar Kläder Dräkter
6817|87632|Blått|Blåa
6818|87632|1960-tal|
6819|87632|Dammode|Trender Dammoden
6820|87632|Föremålsbild|
6821|87633|Kunglig Vintage|
6822|87633|Detalj|Närbild Detaljer
6823|87633|Blått|Blåa
6824|87633|Skärp|Bälten
6825|87633|1960-tal|
6826|87633|Föremålsbild|
6827|87634|Kunglig Vintage|
6828|87634|Klänning|Klänningar Kläder Dräkter
6829|87634|Lila|
6830|87634|1960-tal|
6831|87634|Omlottklänning|
6832|87634|Ambler|
6833|87634|Dammode|Trender Dammoden
6834|87634|Föremålsbild|
6835|87634|Yllekräpp|Yllecrêpe
6836|87635|Kunglig Vintage|
6837|87635|Detalj|Närbild Detaljer
6838|87635|Lila|
6839|87635|Skärp|Bälten
6840|87635|Dammode|Trender Dammoden
6841|87635|1960-tal|
6842|87635|Föremålsbild|
6843|87636|Kunglig Vintage|
6844|87636|Klänning|Klänningar Kläder Dräkter
6845|87636|Dammode|Trender Dammoden
6846|87636|Lila|
6847|87636|Yllekräpp|Yllecrêpe
6848|87636|Omlottklänning|
6849|87636|Föremålsbild|
6850|87636|1960-tal|
6851|87636|Ambler|
6852|87637|Kunglig Vintage|
6853|87637|Klänning|Klänningar Kläder Dräkter
6854|87637|Svart|Svarta
6855|87637|Ylle|
6856|87637|Rosett|Rosetter
6857|87637|1950-tal|
6858|87637|Föremålsbild|
6859|87638|Kunglig Vintage|
6860|87638|Klänning|Klänningar Kläder Dräkter
6862|87638|Grönt|Gröna
6863|87638|1950-tal|
6865|87638|Blommigt|Blommönster Blommönstrat Blommor
6866|87638|Dammode|Trender Dammoden
6868|87638|Föremålsbild|
6869|87638|Christian Dior|
6871|87639|Kunglig Vintage|
6872|87639|Klänning|Klänningar Kläder Dräkter
6874|87639|Blommigt|Blommönster Blommönstrat Blommor
6875|87639|Dammode|Trender Dammoden
6876|87639|Siden|
6877|87639|Christian Dior|
6878|87639|Föremålsbild|
6879|87639|1950-tal|
6880|87640|Kunglig Vintage|
6882|87640|Märke|Logotyp Logga Märken
6883|87640|Christian Dior|
6884|87640|Lapp|Lappar
6885|87640|Föremålsbild|
6886|87640|Detalj|Närbild Detaljer
6887|87641|Kunglig Vintage|
6889|87641|Kjol|Kjolar Kläder Dräkter
6890|87641|Dräkt|Kläder Dräkter
6892|87641|1960-tal|
6893|87641|Blommigt|Blommönster Blommönstrat Blommor
6894|87641|Ambler|
6895|87641|Dammode|Trender Dammoden
6896|87641|Föremålsbild|
6897|87642|Kunglig Vintage|
6898|87642|Stygn|
6899|87642|Detalj|Närbild Detaljer
6900|87642|Föremålsbild|
6901|87642|Ljusblått|Ljusblåa
6902|87643|Kunglig Vintage|
