AusId|AusTitelS|AusOrtS|std_year|AusJahrS|AusDatumVonD|AusDatumBisD|AufAufgabeS|AobObjId
785|Trogna vänner - Kungliga hästar och hundar|Museiverket/Finlands nationalmuseum|2011-2012|2011|2011-05-12 00:00:00|2012-01-30 00:00:00|Livrustkammaren|42960;41923;60205;40759;40760;61073;61075;60931;59151;61125;65789;65754;65755;65756;65757;65758;65759;65760;65761;65762;65763;65764;65765;65766;36794;37572;38554;38667;38676;38703;38738;39321;39322;39329;39489;39529;39556;39574;39582;39643;39685;39688;39877;39975;39976;39977;40117;40146;40763;41653;41887;41895;41919;41920;41921;41922;41989;42610;42617;42653;42763;42764;42765;42799;42826;42827;42943;43007;43233;43234;43236;43237;43366;43795;43807;44034;44040;44323;44419;44426;44523;45470;45485;45486;45497;45503;45504;45505;45535;45560;45561;45562;45563;45564;45565;45567;45639;45745;45746;45747;45970;46605;46804;47439;47444;47445;47620;47721;47722;47846;47853;47854;47856;47857;47858;47920;47921;48127;48185;48204;48205;48239;48240;48241;48242;48243;48244;48245;48246;48247;48248;48249;49215;49217;49218;49410;49411;51874;51875;52185;54641;54642;54643;54644;54645;54646;54647;54648;54649;55101;55277;55595;55596;55597;55897;56068;56069;56070;56071;56164;56168;56223;56224;56225;56236;56237;56257;56409;56557;56558;56559;56560;56561;56562;56563;56564;56565;56566;56567;56640;56641;56785;57321;57322;57353;57626;57627;57668;58026;58204;58276;59502;59503;59504;60063;60064;60065;60066;60067;60068;60069;60070;60071;60072;60073;60074;60162;60923;61051;61052;61053;61054;61055;61056;61057;61058;61059;61126;61127;61128;61129;61130;61131;61132;61133;61134;61135;61251;61977;62050;62051;62052;62081;62082;62083;62084;62171;62172;62173;62202;62203;62204;62205;62234;62341;62342;62517;62780;63127;63937;64094;64095;64364;64378;64379;65753;66054;66055;66061;66063;66183;66368;66419;66441;66447;66921;67725;67833;67834;67835;67836;67837;67918;67919;67920;68173;68623;69238;69239;69240;69241;69344;69349;69350;69384;69431;69432;69817;69818;69819;69941;70366;70367;70401;98195;24475;109986;64105;64106;42870;56639;48200;48201;48202;48203;62090;56736;54211;60968;60969;42746;48769;66242;50881;50882;50883;68366;68367;39904;63936;63973;63974;43866;42703
786|Kunglig Vintage|Livrustkammaren|2011-2012|2011|2011-04-08 00:00:00|2012-01-08 00:00:00|Livrustkammaren|68763;51866;48446;48455;51597;68760;48456;48452;48453;68759;68757;68747;68764;51621;53920;47626;47627;68740;48433;48461;68741;51858;48350;68762;68737;68744;50061;48454;48437;68776;48367;68751;68752;68765;48429;48430;48351;48432;68739;68750;48368;51835;68742;51839;68743;48450;55612;55613;51604;68755;68761;68766;48447;68772;48449;68758;48431;68756;68753;68754;48448;68746;51838;48427;48428;48462;51611;51859;51617;48451;48457;48464;68777;48458;48459;48460;68749;47077
787|Kungligt bagage|Vagnhallen Livrustkammaren|2011|2011|2011-01-15 00:00:00||Livrustkammaren|67132;67133;48953;45809;48375;68787;109474
788|Bröllop för kung och fosterland|F- rummet samt vagnhallen och sadelmontern|2010-2011|2010|2010-05-19 00:00:00|2011-01-09 00:00:00|Livrustkammaren|62145;62146;57508;56365;69480;51621;51617;42622;41454;58539;58540;58541;69954;60445;60446;39245;54617;54618;54619;54620;54621;51799;57890;57891;69479;64084;64085;63283;63284;53885;53886;67848;67849;67850;62593;62594;62595;55815;55816;55817;64002;64003;55636;55637;62147
790|Studiesamlingen||2002-2011|2002|2002-05-06 00:00:00|2011-12-31 00:00:00|Allmänt|39724;41688;41876;42941;45656;46208;45876;51966;39720;51965;42816
792|testutställning|hallwylska museet|2010|2010|||Livrustkammaren|16057;17975;1;2;42;7720;8490;8756;16056
794|Samtida venetianskt konstglas - från Murano och Biennalen 1930-1970|Hallwylska museet|2011|2011|2011-05-27 00:00:00|2011-08-28 00:00:00|Hallwylska museet|21088;19250;19815;19641
797|Vapens utsmyckning, föredrag av Magnus Green och Florence Villén, 17 feb 2011 för Vapenhistoriska Sällskapet|Övre korridoren|2011|2011|2011-02-17 00:00:00|2011-02-18 00:00:00|Livrustkammaren|39633;41989;49304;42332;45936;45927;45928;42204;47350;39565;39657;24437;39707;46553;39594
798|Skokloster - ett nav i Östersjön|Skoklosters slott|2011|2011|2011-06-15 00:00:00|2011-09-30 00:00:00|Skoklosters slott|33405;33314;33315
803|Riddarna runt runda bordet|Paris|2001-2011|2001-2011|2001-01-01 00:00:00|2011-02-08 00:00:00|Livrustkammaren|21233
