AusId|AusTitelS|AusOrtS|std_year|AusJahrS|AusDatumVonD|AusDatumBisD|AufAufgabeS|AobObjId
1|Royal Normal|Livrustkammaren|2012|2012|2012-01-26 00:00:00|2012-04-15 00:00:00|Livrustkammaren|55475;40791;40155;39481;49329;43005;42998;49321;48140;50205;61060;40790;42535;45902;45901;42749;40518;57074;61721;61716;61717;61718;61719;39317;66807;39617;52836;48411;46519;46530;46576;39619;39783;39859;52838;52824
2|Orientaliskongressens utställning||||||Livrustkammaren|60751
4|deposition Skansen Kronan||1894-1998||1894-04-13 00:00:00|1998-09-15 00:00:00|Livrustkammaren|65056;65052;60988;65062;65061;65057;65058;65051;65060;60953;65055;65054;65059;60956;65070;65071;65072;65064;65049;42461;65063;65050;65069;60954;65053;42294;58922;59934;59935
6|Millennium-utställningen||1894||1894-04-13 00:00:00||Livrustkammaren|41608;41607;43882;43883
7|Idrotts- o. turistutställningen i Berlin||1894||1894-04-13 00:00:00||Livrustkammaren|61060;40845;47351;40627;41178;41179;39851;48204;48205;47001;45960;40844;45959;40824;40825;50204;40177;40174;38569;40176;47437;42839;41989;41983;39320;40823;40883;39833;40089;40090;40759;48200;47502;48201;46496;48202;48203;40327;47443;47444;47445;48174
9|Medicinhistoriska utställningen||||||Livrustkammaren|37615
11|Meisterwerke Muhammedanischer Kunst||||||Livrustkammaren|39093;43797;69936;42018;42017;69935;43798;42734;69934
15|Jahrhunderfeier der Freiheitskriege||||||Livrustkammaren|42110;45908;42816;45907
16|"Jahrhunderfeier der Freiheitskriege"||||||Livrustkammaren|42110;42816;45907;45908
17|Äldre kyrklig konst||||||Livrustkammaren|56496
18|Nordiska vapenformer||||||Livrustkammaren|41242;41243;41183;52004;41182;46508;41157;46199;46200;60197;60198;48161;48162;39539;52784;52949;52068;41586;39620;42792;46530;39623;38554;45441;39719;39720;53841;39613;57074;42961;49349;50367;43240;53837;41156;61017;46584;46582;39481;54360;40150;54370;39618;39611;46515;49011;45919;46484;46485;41585;52836;41587;52837;54358;39953;46083;48892;52054;52055;40270;43570;42456;48109;59060;46084;59053;42960;42262;46468;61043;46136;45928;58668;46085;68597;41912;47892;45774;42534;55303;38980;41754;59057;39147;42813;64341;42528;55445;42500;61046;59866;63349;63520;50204;41575;40884;45430;49326;50212;50205;36604;70384;50201;45540;50211;50084;42274;50203;41407;41511;41895;50207;43453;39616;45927;54369;63354;57067;41656;42749;45829;43414;46082;63205;61025;60315;42263;61016;50110;45558;66787;70381;46573;40144;40145;47813;39389;46594;54556;47840;40191;46586;39619;53834;40433;54399;39390;41379;52562;40327;46507;39387;38574;42931;46670;40165;39494;42914;41380;39542;53888;54405;42939;41381;42839;46592;46668;43992;39541;50267;39649;51529;66188;42485;43184;42821;43588;42805;43183;44305;41592;50268;39650;59865;50228;52838;48893;43586;43173;39609;39651;52839;52841;44042;44493;52889;39641;46514;49007;49792;39628;66768;78569;78577;78576;73981;78575;73980;78574;73979;78573;78559;73982;78612;78568;78566;78565;78564;78563;78562;78561;78398;78572;78621;77516;78631;78630;78629;78628;78627;78626;78625;78610;78623;78611;78357;78619;78618;78617;78616;78615;78363;78613;78556;78624;77112;77119;78442;78407;78401;77118;77117;77116;78560;77113;77122;78405;73971;77111;77110;77109;77108;77107;77106;77115;78482;78483;78484;78555;78554;78553;78552;77129;77128;78497;78487;77120;78488;78481;78491;77127;77126;74591;77124;77123;78390;78485;77462;78373;78375;78372;78371;78377;78370;78366;77473;78380;77471;77489;77464;78397;78396;78395;78391;78632;77472;77501;77515;77514;77486;77498;77503;77506;77505;77474;77502;77487;77500;77499;77497;77496;77494;77492;77491;77490;78384;77504;78642;77453;78646;78644;78643;78364;78365;78368;78369;77470;78378;77456;78639;78638;78637;78636;78635;78393;78634;78633;78376;77461;77467;77466;77465;78383;78385;77454;77455;78379;78388;78386;78387;78367;77459;77458;77457;77102;78374;78435;78534;78532;78531;78530;78529;78453;78437;74635;78432;78431;78430;74586;78434;78429;78467;77104;78539;78546;78545;78544;75926;78543;78542;78533;78540;78436;78538;78537;78536;78535;78451;78541;78620;78506;78503;78495;78494;78428;78362;78361;78360;78464;78358;78510;74638;77513;77086;77087;77114;77050;77488;77079;78359;78476;78448;78461;78459;78457;78456;78455;78471;78450;78507;78478;78508;78466;78527;78526;78525;78520;78519;78518;78511;78548;78447;77070;77083;77082;77081;77080;77077;77076;77075;77073;78501;77071;78402;77069;77068;77067;77066;77065;77064;78414;73945;77072;77095;77495;78498;78421;78420;78418;77101;77100;74118;77084;77096;77085;77094;77093;77092;77091;77090;78404;77089;77088;77061;77097;77038;77063;77043;77044;74401;77042;77041;77040;77039;77046;78413;78412;73977;77037;77036;78551;78550;78549;78499;78502;77103;78486;73947;78547;77078;77060;77059;77053;77058;77057;77056;77045;77054;77062;78403;77052;77049;77048;77047;73952;73965;78406;77055;77493;29537;9159
20|Arbetets historia||||||Livrustkammaren|44799;44800;44798;44832;44822;44811;44813;44807;44808;44801;44810;44821;44812;44791;44818;44819;44820;44809
23|Karl XII||||||Livrustkammaren|48761;45418;46497;36685;48421
25|Basutställning||||||Livrustkammaren|54358;49842;41121;44494;49843;42218;45829;41475;41751;40382;46443;41423;42794;46143;46193;46194;43005;43006;45941;41928;41422;41757;41130;41129;46668;41752;46587;42196;48255;42816;41747;54360;41755;41758;41683;41744;42110;42116;41120;41749;40825;56957;56956;49296;45170;50089;47537;50250;57074;40834;39831;47167;47090;52838;45969;45968;49306;39874;46140;55140;43240;41763;46139;44284;39872;44278;44285;39873;48890;44088;44139;41607;45532;41851;41898;47350;41748;41745;48549;49295;47370;46138;41608;50211;41276;50087;47378;39419;42126;41019;55142;47001;45579;41187;54382;59966;59974;42734;54580;54579;66901;66900;55139;47358;43724;67808;67807;51587;68494;56958;42304;42526;42533;47501;43657;40804;41772;45430;45540;60315;63354;63349;41689;41690;45581;39384;42228;47422;44087;47847;47500;50210;50205;40884;43926;42745;42249;61043;42227;42226;42221;42217;50204;41761;41960;45828;43925;41656;45580;45578;67814;45194;47477;48205;48204;46016;61060;41992;66787;40518;48411;42749;45902;45901;55475;42463;42521;46141;43570;39784;39405;39795;39794;52825;52820;39793;39792;39791;39789;49572;39653;39787;52818;39785;39856;52821;48228;47531;39782;49307;38556;38557;38558;49304;49305;40813;40812;54679;39786;39534;40173;40172;46573;52845;39851;40176;40177;47437;39541;39542;39854;39855;49586;45431;41107;36976;39617;39479;46574;46576;44330;39618;39619;46491;39520;39521;40191;38570;42841;39772;41989;40823;40824;40234;52844;39721;39656;39725;39724;40700;39763;39757;54680;39859;41116;36979;39755;36980;38554;39609;39633;41980;39383;39778;40808;40786;55424;41312;39846;40798;38569;41108;49302;49303;41093;41314;49320;49314;41983;39526;39523;39525;41128;47788;47786;36975;47240;47239;47243;47787;47750;40800;40795;47785;47784;47013;47242;47241;41115;40799;47702;67677;45569;47443;42532;47444;47445;65382;65383;39860;47689;39974;39970;39718;47701;42952;47700;52836;52801;52800;52802;52846;52813;52847;39966;52848;52806;52807;46566;52811;67445;41018;46586;45195;45196;50404;47190;47360;42953;42303;67775;51965;54009;52424;56540;54116;52812;67634;67635;54118;67443;64798;54117;67444;67446;54115;42954;67633;67632;42951;67442;39628;39847;39610;39517;47699;39848;45441;42838;39850;46496;39538;39613;46519;52837;39611;41977;39477;39518;39615;39519;39616;39529;39530;44305;40430;42839;46565;47692;54184;39612;41985;52842;39833;39832;52810;47789;40235;40233;39626;39627;41990;39323;39322;39321;46538;39841;42840;39632;44032;52823;39844;39318;45534;42272;39320;40192;39840;39838;39836;52829;39843;41153;40826;45918;41178;41179;47814;40100;40134;40116;41136;41137;45957;45958;40898;41176;41151;41152;54278;54279;40952;40953;38568;42929;39649;42821;44042;39639;46510;39641;41175;41186;39492;39773;42930;41477;42944;40766;40351;41144;41145;41159;41160;46368;40899;41177;39622;41202;41076;46201;46476;46477;41181;41180;41201;41146;41200;46000;46001;41150;46369;46485;40874;46094;46095;43245;43244;41157;41156;52949;41142;54369;54370;41585;40150;46484;40594;41124;41125;41123;41122;41132;41060;41061;41147;40872;41032;41313;45878;46592;41586;40142;40138;40170;40155;47813;39387;42813;39386;40433;39390;39494;40145;42931;40190;40875;46582;46530;39953;39488;39481;46584;40144;42914;46590;45452;42939;46594;39389;39503;40595;46607;41077;44493;52841;39647;52839;44303;40141;42960;40174;40822;40821;47436;47435;47230;41090;39780;41078;45959;45960;41087;41088;40089;40090;40091;40092;40844;40845;40918;39489;41089;49287;41127;54183;54180;40814;40815;40783;40784;40817;40818;40819;40820;39770;39771;39630;55149;45799;47695;47694;41979;41978;40411;41171;49286;55148;41982;41981;52815;45461;39769;41172;40099;41199;39420;41209;41210;43992;44304;48151;47684;47685;47686;41184;41185;40919;46032;41182;40854;40873;41196;41197;46072;46073;41191;41192;41131;40869;41085;41086;46670;46031;47439;39421;39422;41540;40097;40098;40856;40095;40096;46018;46019;45929;45930;40327;41198;39723;40146;54381;41149;41148;40137;38547;39729;47438;42805;45469;39776;39777;44043;41183;42893;40760;40759;40853;42658;54132;41881;49334;77231
28|Nordiska museets musikavdelning||||||Livrustkammaren|65460
29|Drottningholms teatermuseum||1922-2003||1922-01-01 00:00:00|2003-12-11 00:00:00|Livrustkammaren|65851;65850;65852;65854;65860;65861;65864;65865;58034;56157;65859;65858;65857;65856;65855;65853;65862;56155;58035;65863;56156;56154;89296
30|Himmelssängar||||||Livrustkammaren|56195;68096;56192;56199;56194;68094;56196;56197;68097;68095;56198;56201;62256;68093;56193;68105;68106;68109;68110;68104;68107;68111;56200;68108;68112;68098;68113;68114;68103;68102;68101;68100;68099
31|Minnesutställning Gustav Vasas intåg i Stockholm||||||Livrustkammaren|50088;80139;80140;80141;80142;80143;80144;80145;80146;80137;80138
32|Jubileumsutställning i Göteborg|Göteborg|1923||1923-04-13 00:00:00|1923-11-06 00:00:00|Livrustkammaren|53560;53563;53584;53577;53589;53588;52428;53350;53508;53369
40|Hantverksutställning||||||Livrustkammaren|65613;65614
44|K. Livregementets dragoner||||||Livrustkammaren|48075
49|Gustaf III:s kungssvärd o hertig Karls svärd||||||Livrustkammaren|78831;82780
54|Runöbornas kungaskänk||||||Livrustkammaren|39643
56|Sprängda vapen (Dr I. Lönnbergs samling)||||||Livrustkammaren|47829;47828;47827;47825;47823;47820;47826;47819;47822;47821;47824
58|Skattkammaren||||||Livrustkammaren|65273;65341;65340;65339;65338;65337;65336;65287;65285;65284;65283;65274;65344;65267;65259;65257;65258;65200;65256;65255;65254;65253;65251;65282;65356;65286;62408;65194;65195;65196;65199;65346;65361;65360;65359;65342;65357;65343;65355;65354;65353;65352;65351;65350;65349;65348;65347;65345;65248;65358;65233;65250;64331;64330;64329;64328;65230;64327;65231;65232;65213;65228;64325;65227;64324;65244;65243;65242;65241;65240;65234;65235;65239;65238;65237;64326;65204;65236;65247;65246;65245;64336;64335;64334;64333;65201;64332;65229;65203;65249;65207;65208;65210;65214;65215;65220;37683;65221;65222;65223;65224;65202;65209;37681;37819;37782;37736;37708;37684;37550;37711;79228
59|Från Lovisa Ulrikas och Carl v. Linnés dagar||||||Livrustkammaren|68555;68399;53432;52174;55105;54544;55019;54521;64821;66811;42469;45902;37606;53595;52424;52425;47813;53426;45933;68473;46605;57348;55602;55601;61684;54456;54569;45325;39746;39677;39734;42989;53887;42931;44417;41799;46582;53834;40881;40882;41999;42000;41796;41797;41798
60|Gustav II Adolf. Minnesutställning 1932||1932||||Livrustkammaren|37782;54183;39860;39970;40794;37736;40808;67772;40812;40813;40896;40897;41667;42283;40802;52837;40798;40596;47787;40795;40807;56392;54184;39780;67771;45163;41745;41748;36779;42303;37711;44334;67808;47701;47702;49304;47090;52811;52836;60893;41651;47700;56284;49305;67807;51587;68003;67961;68494;67893;42658;46543;41650;47243;46542;46557;42746;40429;44333;67775;47091;47125;47360;47750;47689;46549;47690
61|Barnets värld||||||Livrustkammaren|46959;47131;47127;46957;47130;47129;47128;46958;47137;47136;47135;47134;47132;46934;46960;45725;47133;45716;45721;51798;46873;46933;45724;45719;45722;45717;46896;45715;46903;46902;46901;46900;46899;46898;45718;46990;51900;51901;51897;51898;57448;46984;46985;47049;47050;47051;47118;46942;46988;64180;46991;46992;46993;46994;46995;46996;47119;46872;46939;46940;46941;46986;58182;42163;42162;51894;58535;58292;58140;58139;56839;58230;58229;58226;63270;62134;63666;58181;45997;45995;45723;45998;46932;42992;48041;48042;48043;50002;46989;62135;46919;46906;46907;46908;46909;46915;46911;46912;46913;46914;46943;46987;46916;46905;46918;46910;46920;46921;46922;46923;46924;46925;46926;46927;46928;46929;46930;46931;46917;46956;46944;46945;46946;46947;46948;46949;46950;46951;46952;46953;46954;46955;46904;47142;47146;47138;47145;47139;47140;47141;47144;47143
62|Gustav II Adolf||||||Livrustkammaren|54680;54679;50256
63|Kröningsaccessoirer||1934||1934-05-26 00:00:00|1934-06-26 00:00:00|Livrustkammaren|54213;46537;54212
64|S:t Barthelemy-utställningen||1934||1934-07-06 00:00:00|1934-10-01 00:00:00|Livrustkammaren|45814;68401;69756;53752;53937;53749;53750;36703;37789;39163;53751;53936;39162;53430;53300;39169;39171;39166;39432;69757;89422;86595;89400;86586;89428;89405;89409;89402;89399;86567;89446;89435;89442;89407;86566;89408;86548;86568;86578;89425;89426;86573;86593;89413;89406;86581;89412;89403;86582;86589;89419;86580;89436;89410;89431;86579;89443;86559;86561;86560;89420;86596;89460;86545;86563;89444;86551;89434;86570;86587;89456;89433;89430;86597;89445;89414;86549;89404;89401;86594;89417;86558;86557;86562;89423;86569;86572;89418;89439;89416;89437;86565;86564;86556;89526;89536;89535;89533;86590;89532;89531;89530;89529;89516;89527;89539;89525;89524;89523;89522;89521;89520;89519;89518;86575;89528;89547;89457;89424;89459;89455;86550;87337;89551;89550;89549;89537;89548;89538;89421;89545;89546;89544;89543;89542;89541;89540;89515;89441;89450;89465;89463;89462;89461;89458;89453;89452;89451;89517;89415;89494;89449;86574;86583;89440;89427;86576;86584;86585;86592;86577;89503;89514;89513;89512;89511;89510;89509;89508;89507;89506;89466;89504;89467;89502;89501;89500;89499;89498;89497;89496;89495;86571;89505
66|Jubileumsutställning||1935||1935-02-16 00:00:00|1935-04-18 00:00:00|Livrustkammaren|45928;45927
67|Riksdagshistoriska uställningen||||||Livrustkammaren|55475;45933;66819;66822;61045;61047;66823;45901;66817;56633;53641;66818;58121;58114;58115;58117;58116;58118;56631;58120;56632;58122;58123;55801;63890;63891;45904;58119;67855;41680;40382;40383;67851;55502;67852;56635;67854;56634;64067;67856;67857;48412;37700;45902;67853;40429;48075;56023;63884;50086;50085;56022;50083;56205;56206;45921;39449;45911;67946;67947;67948;67949;67953;67952;67951;67950;55686;63885;56135;50075;50262;46336;50257;50258;54046;66358;42532;52424;52425;45920;39831;49132;50074;45892;45891;45912;45915;45890;45913;45914;45889;45916;37606;63991;55373;57663;53771;56207;56138;56137;55374;56208;68502;50127;64315;61238;61239;61240;66768;66821;66824;67004;66851;66835;56085;52877;66765;66829;70014;69634;61046;66805;66787;66838;66786;61044;66807;66788;66830;61048;42531;66816;66815;66820;66827;46458;46456;45905;66605;53770;66801;55506;56083;56082;42147;42146;68033;67870;67869;67868;67867;69635;55507;56084;45533;61049;66792;42504;42469;67564;61043;42500;66763;66855;55819;63295;89589;89590;87686;87882;88806;88807;89591;88808;86622;21639;29537;9159
68|Kommittén för Riksdagens 500-årsminne||||||Livrustkammaren|45889;56022;50086;50083;53771;53770;45892;56135;45890;56138;44098;39691;45659;45658;41957;41956;45891;43168;56207;56208;56205;56206;43167;56137;56023
69|Arboga-utställningen||||||Livrustkammaren|59060;45155;52055;59748;52054
71|Huskvarna-utställningen 1936||1936||1936-06-20 00:00:00|1936-07-12 00:00:00|Livrustkammaren|39720;54408;46584;45806
72|Basutställning||||||Livrustkammaren|50089;47537;56956;50404;39831;56957;49296
77|Jaktutställning i Berlin||||||Livrustkammaren|48174;48177
78|Regalieutställningen 1938 (till förmån för Gustaf V:s jubileumsfond)||1938|1938|||Livrustkammaren|36756;55408;55407;42016;36457;36458;38202;36461;41237;41238;46544;36463;36464;36465;36459;36462
81|Gustaf V som människa och konung||1938||1938-05-21 00:00:00|1938-06-19 00:00:00|Livrustkammaren|54211;55613;66252;50074;50075;58229;58230;45889;39643;52980;55612
83|Kring den siste riksdrotsen||||||Livrustkammaren|42288
87|Spetsar||1942||1942-02-01 00:00:00|1942-04-15 00:00:00|Livrustkammaren|67773;57312;63972;57503;55742;56315;56285;67772;63971;67809;56430;56314;57318;57319;67970;67771
88|Spetsar||1942||1942-04-15 00:00:00|1942-05-31 00:00:00|Livrustkammaren|57312;67970;56285;57503
89|Från Karl XI:s ungdom||||||Livrustkammaren|55792;54125;67975;67976;67977;62819;62806;55793;62811;55791;55790;55789;55788;44428;44427;42676;61230;61069;59856;62843;61068;61225;62808;61211;62807;61231;42601;52980;44239;62810;62809;44426;37427;64068;58600;64069;59240;59238;42598;56961;45476;36461;66047;46411;56959;59239;59236;59237;56960;61993;47445;56242;40191;39628;45431;67904;45451;42948;46573;59445;59444;54132;64064;45441;38554;45453;62615;53272;53424;41653;64063;56561;55539;63656;55794;55795;55796;55797;55536;55538;42678;55540;55541;55542;63657;42677;42683;42682;42681;42680;42679;55537
90|Tornerutrustning från GIIA:s tid||||||Livrustkammaren|60019;61718;61717;61716;61720;61721;40596;46539;58668;60020;60021;58669
91|(Lovisa Ulrika)||||||Livrustkammaren|67840
92|Jaktuställningen i Uppsala||1944||1944-01-31 00:00:00|1944-02-06 00:00:00|Livrustkammaren|33201;26659;26660
93|Gallica||1945||1945-10-01 00:00:00|1945-11-30 00:00:00|Livrustkammaren|41312;41541;46473;47351;40293;40273;46114;47350;42249;57867;52169;52167;41184;41313;41185;46159;46158;46157;46154;46155;46200;45930;45798;46199;40845;40844;47692;40586;46033;46034;39421;39505;39422;67866;55407;42752;42753;67897;55957;40627;55959;41540;40644;67628;39540;46202;45432;46201;63396;63395;40872;40854;40853;55958;40172;47358;42236;42235;47686;47685;46019;46018;45799;40919;40918;46566;55149;43750;39530;45907;40175;40099;47231;47230;40092;40091;40098;40097;41086;41085;40096;40095;55148;42950;40090;40089;46073;46072;40798;40802;39580;41980;41982;41981;40174;40177;43749;39484;45929;46581;46475;46474;50124;50123;47751;45926;45925;45910;45909;45756;45908;40176;40173
94|Svarvuställningen 1945||||||Livrustkammaren|44011;45210;44842;45213;45017
95|Orientalisk textilkonst||||||Livrustkammaren|62601;44333;45578;42745;44334;42734
96|Brömsebro-freden 300 år||1945||1945-07-14 00:00:00|1945-08-13 00:00:00|Livrustkammaren|64915;42530;39606;54186;54185;58965;39563;39551;61662;61661;44448;59427;50173
97|Gustav III - Minnesutställning||||||Livrustkammaren|67855;67851;67853;67864;67944;67943;67942;55502;62619;67852;67865;67945;67863;43140;43139;67857;67856;67866
98|Ibero-amerikanska arkitekturutställningen||1946||1946-04-25 00:00:00|1946-07-05 00:00:00|Livrustkammaren|43076;69637;43079;43075;43077;43078;43080
100|Westfaliska freden-utställningen||||||Livrustkammaren|46543;46546;40941;46542;46557;42664;39551;40942;67777;41759;40940;40939;55423;41581;46256;46261;61704;42665;67758;66967;52329;39719;39725;58965;54183;55860;39549;52328;48255;56264;55857;39722;55859;44448;55878;52176;41688;41785;41758;41746;55858;39727;41751;39718;67689;64010;39720;39654;42736;59427;42735;57629;44456;58203;47279;47274;54184;39656;41764;41756;41691;42753;26972
101|Ordensutställningen||1948|1948|1948-11-15 00:00:00|1948-12-15 00:00:00|Livrustkammaren|36457;38813;37017;38780;37116;36944;36461;38409;36458;56038;42909;42908;56089;56090;56091;57648;37155;36459;37052;37107;37095;37084;37083;44256;37114;37046;37012;38818;36987;37053;37065;66910;37099;56037;37163;37112;37030;58536;69030;56134;56078;56077;56076;56075;56079;57649;56135;69033;37034;55496;67847;67846;47489;47488;47487;52980;42915;42038;56036;56035;50119;56085;63991;63295;56084;56083;69031;46596;69032;37173;68042;57453;64117;64118;56063;56062;38779;56082;37124;37131;37193;37390;38279;37066;37085;37098;37070;37134;37054;56061;37018;37016;37152;37069;36939;36941;37003;37004;37005;37120;37076;37008;37142;36938;37180;38880;63333;37159;37160;36940;47490;76265;76266;75669;24668
106|Minnesutställning över Konung Gustaf V||1951-1952||1951-11-01 00:00:00|1952-02-01 00:00:00|Livrustkammaren|49825;49391;42395;49920;38095;51071;38023;38094;49824;42387;49796;49797;41611;41612;49827;49390;38026;38033;42386;50388;50387;49829;38729;38146;37894;38049;38018;37895;37896;38034;49794;51020;37980;37986;49772;49773;50900;49793;37196;38078;37987;37988;38096;38047;46098;49774;38037;49732;49734;49737;49738;42380;37979;38036;49731;38038;49747;49748;51054;49751;37906;42381;47465;50435;50434;69166;69164;43636;36726;56928;58106;58105;58104;58230;58229;52980;50904;50445;47464;47469;47470;38055;38077;53738;38066;38022;37970;37976;47467;46099;37977;50417;38067;50447;50436;41425;41426;49917;49918;50897;50446;55659;50448;42389;37969;42390;37948;37947;49919;60446;37927;50474;50475;50477;50422;50903;50424;50418;55650;55649;55660;55661;55662;55663;50423;38213;36694;36693;38223;38222;38238;38236;38724;38723;36691;38245;38211;38214;38207;38234;38233;38231;38230;38253;38252;38644;38643;38616;38182;42396;38698;38181;38765;44536;44535;38175;38174;38620;38619;38248;38247;38204;38706;38205;38697;38656;38655;38242;38241;38220;38219;38217;38216;38208;38210;38707;38190;38110;38157;38156;38155;37922;37921;37938;37936;38129;38128;38615;38145;38065;38189;38187;38076;38122;38046;38032;38031;38030;38103;38054;38127;38373;38659;38658;38383;38382;38381;38380;38379;38378;38377;38376;38111;38374;38112;38372;38371;38370;38369;38368;38367;38366;38365;38364;38363;37735;38375;48287;38897;38896;38895;38894;66259;66256;38893;42825;57803;38920;57801;38899;38892;48196;48195;48188;48187;38908;48186;48185;45435;38909;57802;37601;45976;46677;42827;46676;38177;46675;38244;46674;46673;46672;38898;37600;48294;37602;56486;42826;46671;38891;38903;38902;38901;38900;40588;37599;38085;37512;49860;49861;66098;38087;49859;48305;38613;38261;38260;66884;37982;38258;38086;40632;66258;38197;38926;41556;38924;40631;39643;38906;53544;38919;37511;66260;49858;55678;76711;76712
108|Etiopien-utställningen||1955||1955-11-15 00:00:00||Livrustkammaren|43734;43735;43736
116|Stockholms blå ryttare||1958||1958-01-01 00:00:00|1958-02-21 00:00:00|Livrustkammaren|45876;53770;53771;52458;55373;45892;45891;45921;52459
123|Dräkt och uniform||1959-1960||1959-09-01 00:00:00|1960-03-15 00:00:00|Livrustkammaren|55975;56096;47862;47550;47817;47818;56124;45867
126|Gustav Vasa - Riksbyggaren (tillsammans med Riksarkivet)||||||Livrustkammaren|47153
135|Skiss och sak från fyra sekel||1960||1960-09-07 00:00:00|1960-10-10 00:00:00|Livrustkammaren|38862;38280;37073;67906;61714
139|Slottsspelen||1961||1961-06-19 00:00:00|1961-07-26 00:00:00|Livrustkammaren|58651;47612;58649;41448;41888;59987
145|Scots in Sweden||1962-1963||1962-07-17 00:00:00|1963-04-08 00:00:00|Livrustkammaren|41404;40942;42871;40941
150|Carl XIV Johan||1963||1963-01-02 00:00:00|1963-04-03 00:00:00|Livrustkammaren|45597;44437;42932;46537;45666;45667;46466;46467;47498;44436;49186
151|Karl XIV Johan||1963||1963-04-03 00:00:00|1963-12-31 00:00:00|Livrustkammaren|45756;46037;46038;46466;46467;49186
152|Trésors d'art suèdois||1963|1963|1963-05-13 00:00:00|1963-07-10 00:00:00|Livrustkammaren|65456;36462;36465;68043;36457;36458;36464
153|Pärlbroderier||1963-1964||1963-05-10 00:00:00|1964-11-10 00:00:00|Livrustkammaren|56265;56266;45571
158|Herre och hund||1964||1964-01-01 00:00:00||Livrustkammaren|44408
159|utställning i Vadstena slott|Vadstena slott|1965-1994||1965-06-03 00:00:00|1994-07-06 00:00:00|Livrustkammaren|65728;64341;64340;64339;64338;65730;64337;65731
160|Myt och verklighet||1965||1965-06-03 00:00:00||Livrustkammaren|40429;44334;44333
162|utställning i Moskwa|Moskwa|1965||1965-05-18 00:00:00|1965-07-31 00:00:00|Livrustkammaren|44304;56287;56957;44305
166|Les Wallons en Suède||1966||1966-03-23 00:00:00|1966-05-31 00:00:00|Livrustkammaren|59054;59640;42494;39443;55445
167|Christina, drottning av Sverige||1966||1966-04-30 00:00:00|1966-10-31 00:00:00|Livrustkammaren|42584;42581;42585;60894;42752;42586;42286;42734;42751;42753;42668;40823;42298;42296;66344;61179;61181;42275;61182;42582;42583;42276;42278;42299;42300;41989;39385;41993;39319;40233;40235;42272;40825;40824;39318;39321;39322;45568;41980;42303;39323;41981;41990;39962;45535;41987;41992;42735;42673;41979;41978;41697;41696;41982;41698;41991;39516;41984;39316;42271;39840;42273;39838;39839;41977;41988;41983;41986;39317;40234;39963;39836;39837;39834;39835;41985
170|Oskuld och arsenik||1966-1967||1966-09-14 00:00:00|1967-01-16 00:00:00|Livrustkammaren|55142;55144;55145;41205;55139
174|Kring attentatet på Gustav III||1967||1967-10-13 00:00:00|1967-11-19 00:00:00|Livrustkammaren|55147;57346;55142;67440;48752;67439;55146;55145;57092;42126;57498;57499;57399;52447;55144;67438;57351;67436;67437;67441;55139;57352;55140;77236;77235;77230;77232;77233;77234
187|Sveriges Riksbank 300 år||1968||1968-05-13 00:00:00|1968-08-05 00:00:00|Livrustkammaren|37755;37713;37554;37702
188|Skon genom sekler||1968||1968-05-14 00:00:00|1968-09-27 00:00:00|Livrustkammaren|63784;63756;70086;70085;67855;67856;64070;57466;58169;63785;63654;63755;63655;64071;54174;58168;58170;54172;54171;54145;54173;63877
194|Egypt.kulturministeriet||1968-1969||1968-10-29 00:00:00|1969-10-28 00:00:00|Livrustkammaren|39093
203|Att knyppla||1970-1971||1970-04-09 00:00:00|1971-01-25 00:00:00|Livrustkammaren|63972;51555;63971;55860;67939;67938
208|Statussymboler||1971||1971-04-08 00:00:00|1971-10-04 00:00:00|Livrustkammaren|38282;37584;67860;37021;38413;38278;67863;67864;67865;67866;57996;67859;57992;55496;67861;67847;67846;67862;63649;63648;39356;57995
210|Takt och ton||1971||1971-04-23 00:00:00|1971-10-01 00:00:00|Livrustkammaren|53768
212|Sundsvall från fyra sekler||1971||1971-06-15 00:00:00|1971-10-05 00:00:00|Livrustkammaren|64915;58894;40700
216|Fyrtal kungar||||||Livrustkammaren|80958;80959;80960
221|Gustav III||||||Livrustkammaren|62840;40554;66563;53650;53659;66368;66411;66420;48207;66409;66443;66593;62838;70399;66125;66126;66127;66128;66129;51327;62836;48219;62837;65850;56982;48216;65851;46626;60063;60065;60066;60067;60068;60069;60071;60072;60073;48221;48215;51315;48217;48218;48220;65793;65794;65795;65796;65797;65867;62780;62782;61975;51296;60074;63883;65734;46622;46621;46620;46619;54196;68001;68000;48170;48169;48168;65861;63882;46627;45380;53651;66184;66182;65746;65741;61977;62784;65738;65737;65736;65735;42870;46640;40382;59958;59957;59742;59741;65994;41939;41959;45691;45690;45689;46623;45687;46625;46639;46638;46637;46636;46635;46634;46633;46632;46631;46630;46629;46624;45688;45160;67846;59158;42466;42532;42523;41440;42505;42503;46215;46214;46213;57992;45161;67847;45159;45158;45157;45156;65992;65456;42126;55140;55139;57092;58224;46628;45162;57457;65871;65870;65869;65868;58225;64346;64345;64344;64343;64342;58222;59159;57879;55496;45761;42198;60070;42315;62595;52172;67848;67849;67850;55497;62593;62594;42199;70400
226|Persisk konst i Sverige||1973||1973-04-11 00:00:00|1973-08-30 00:00:00|Livrustkammaren|43773;43772;50378;44063;44062;41720;50250;43752;50251;53680;53679;47790;43656;47190;43838;43842;43843;62796;44242;42734;43751;44241;44116;43837;46247;56956;46243;56958
