These are the keywords used to describe the objects themselves. Classification is used for all items whereas group is only used at HWY.

when possible ord1 will be used instead of the more generic ord2.
===*Keyword|frequency|commonscategory===
*Knappar|4|
*Hängsmycken|4|
*Huvudbonader|4|[[:Category:Headgear]]
*Halsdukar|4|
*Grytor, kastruller och stekpannor|4|
*Förvaringskärl|4|
*Dräkt|4|
*Bordsarmaturer|4|
*Bord|4|
*Övriga träarbeten|3|
*Övriga leksaker|3|
*Övriga förvaringskärl|3|
*Övriga blankvapen|3|
*Örngott|3|
*Vantar|3|
*Täcken|3|
*Toalettartiklar|3|[[:Category:Toiletries]]
*Skåp|3|
*Seldon|3|
*Plymer|3|
*Piskor och spön|3|
*Personliga banér|3|
*Nattkläder|3|
*Möbler|3|
*Metspön|3|
*Ländpansar|3|
*Leksaker|3|[[:Category:Toys]]
*Laddstockar|3|
*Jaktutrustning|3|[[:Category:Hunting equipment]]
*Hårprydnader|3|
*Grafik|3|
*Föreningsnålar|3|
*Föremålsritningar|3|
*Fäktning|3|
*Dragna och burna transporter|3|
*Bordsur|3|
*Bestick|3|
*Övriga vetenskapliga instrument|2|
*Övriga underkläder|2|
*Övriga sportkläder|2|
*Övriga rökdon|2|
*Övriga ritningar|2|
*Övriga nederdelar|2|
*Övriga kostymer|2|
*Övriga huvudbonader|2|
*Övrig jaktutrustning|2|
*Väskor|2|[[:Category:Bags]]
*Vetenskapliga instrument|2|[[:Category:Scientific instruments]]
*Vapensköldar|2|[[:Category:Coats of arms]]
*Underkläder|2|[[:Category:Underwear]]
*Tornersköldar|2|
*Sängomhängen|2|
*Speldosor|2|
*Speglar|2|
*Snäckor|2|
*Skridskor|2|
*Religiös litteratur|2|
*Privata brev|2|
*Måleri|2|[[:Category:Paintings]]
*Modeller|2|
*Mineraler|2|
*Medaljband|2|
*Linnen och liv|2|
*Lakan|2|
*Köksredskap|2|[[:Category:Kitchen utensils]]
*Jungfrudräkter|2|
*Jaktbestick|2|
*Instrument och sprutor|2|
*Insignier|2|[[:Category:Insignia]]
*Huvudskydd|2|
*Handdukar|2|
*Guld|2|
*Glas och koppar|2|
*Frackar|2|
*Fotbeklädnader|2|[[:Category:Footwear]]
*Flankpansar|2|
*Fat|2|
*Dräkttillbehör|2|
*Dockor|2|
*Civila uniformer, utländska|2|
*Börsar|2|
*Bärstolar|2|
*Broscher|2|
*Armband|2|
*Övrigt glas, keramik och porslin|1|-
*Övriga yrkeskläder|1|-
*Övriga väskor|1|[[:Category:Bags]]
*Övriga uniformer|1|-
*Övriga sköldar|1|-
*Övriga skyddskläder|1|-
*Övriga reguljära mynt|1|-
*Övriga musikinstrument|1|-
*Övriga kort|1|-
*Övriga handvapen|1|-
*Övriga böcker|1|-
*Övriga båtar|1|-
*Övriga belysningsarmaturer|1|-
*Övrig metall|1|-
*Övrig grafik|1|-
*Västerländska mattor|1|-
*Väggarmaturer|1|-
*Utmärkelsetecken|1|-
*Tält|1|-
*Takarmaturer|1|-
*Synhjälpmedel|1|-
*Stångvapen|1|-
*Ställ|1|-
*Standarfragment|1|-
*Spel|1|[[:Category:Games]]
*Soffor|1|-
*Skönlitteratur|1|-
*Sköldar|1|[[:Category:Shields]]
*Sjalar och sjaletter|1|-
*Sikten|1|-
*Saxar|1|-
*Rustningar|1|[[:Category:Armour]]
*Prylar|1|-
*Pressar|1|-
*Portmonnäer|1|-
*Portföljer|1|-
*Plånböcker|1|-
*Peruker|1|-
*Parfym|1|-
*Parasoller|1|-
*Ordensdräkter, utländska|1|-
*Officiella brev|1|-
*Nederdelar|1|-
*Naturalier|1|-
*Möbelklädsel|1|-
*Månadstidningar|1|-
*Mätinstrument|1|-
*Musikinstrument|1|[[:Category:Musical instruments]]
*Musik|1|-
*Manschettknappar|1|-
*Långsköldar|1|-
*Långbågar|1|-
*Laveringar|1|-
*Köksmaskiner|1|-
*Kuskdräkter|1|-
*Kråsnålar|1|-
*Kortspel|1|-
*Kokerskedräkter|1|-
*Kistor|1|-
*Kepsar|1|-
*Hästskor|1|-
*Hushållstextilier|1|-
*Hushållsräkenskaper|1|-
*Haklappar|1|-
*Gyllenlädertapeter|1|-
*Förstärkningsstycken|1|-
*Fåtöljer|1|-
*Flaggor|1|[[:Category:Flags]]
*Dokument och handlingar|1|-
*Chauffördräkter|1|-
*Bågvapen|1|-
*Borstar och kammar|1|-
*Blusar|1|-
*Benskydd|1|-
*Belysningsarmaturer|1|[[:Category:Lightning]]
*Begravningsstandar|1|-
*Begravningspenningar|1|-
*Bataljmåleri|1|-
*Badkläder|1|-
*Askar och etuier|1|-
*1800-talsmynt|1|-
*Hästutrustning|656|[[:Category:Horse equipment]]
*Eldhandvapen|637|
*Ordnar|330|
*Fanor|271|[[:Category:Ensigns]]
*Rustningsdelar|251|[[:Category:Armour parts]]
*Fotbeklädnader|250|[[:Category:Footwear]]
*Måleri|210|[[:Category:Paintings]]
*Vapentillbehör|205|
*Blankvapen|192|
*Verktyg|175|[[:Category:Tools]]
*Vapen|171|
*Glas, keramik och porslin|141|
*Överdelar|124|[[:Category:Tops (clothing)]]
*Stångvapen|113|
*Dokument och handlingar|98|
*Uniformer|84|
*Barnkläder|67|[[:Category:Children's clothing]]
*Övriga dräkttillbehör|64|
*Hushållstextilier|64|
*Övriga handvapen|61|
*Huvudbonader|56|[[:Category:Headgear]]
*Dräkttillbehör|55|
*Igenkänningstecken|45|
*Dräkt|43|
*Bågvapen|43|
*Smycken och prydnader|42|[[:Category:Jewellery]]
*Gehäng|42|
*Vapensköldar|40|[[:Category:Coats of arms]]
*Standar|40|[[:Category:Pennants]]
*Konst och konsthantverk|39|
*Utmärkelsetecken|36|
*Transportutrustning övrigt|35|
*Hästrustningar|35|[[:Category:Horse armours]]
*Möbler|34|
*Fiskeutrustning|33|[[:Category:Fishing equipment]]
*Nederdelar|29|
*Dragna och burna transporter|29|
*Djur|29|[[:Category:Animalia]]
*Verktyg och vetenskapliga instrument|28|
*Ytterkläder|27|
*Musikinstrument|27|[[:Category:Musical instruments]]
*Väskor|26|[[:Category:Bags]]
*Sköldar|26|[[:Category:Shields]]
*Ritningar|24|[[:Category:Drawings]]
*Sportkläder|22|
*Kontorstillbehör|22|[[:Category:Office equipment]]
*Flaggor|22|[[:Category:Flags]]
*Handbeklädnader|19|[[:Category:Gloves]]
*Vetenskapliga instrument|16|[[:Category:Scientific instruments]]
*Fotografier|16|[[:Category:Photographs]]
*Förvaringskärl|14|
*Insignier|13|[[:Category:Insignia]]
*Artilleri|13|
*Transportutrustning|12|
*Möbler och inredning|12|
*Skyddskläder|11|
*Grafik|11|
*Mattor|10|[[:Category:Rugs and carpets]]
*Trycksaker|9|[[:Category:Prints]]
*Medaljer|9|[[:Category:Medals]]
*Leksaker|9|[[:Category:Toys]]
*Köksredskap|7|[[:Category:Kitchen utensils]]
*Toalettartiklar|6|[[:Category:Toiletries]]
*Tapeter|6|[[:Category:Tapestry]]
*Hushåll|6|
*Belysningsarmaturer|6|[[:Category:Lightning]]
*Underkläder|5|[[:Category:Underwear]]
*Kostymer|5|[[:Category:Costumes]]
*Idrottsutrustning|5|[[:Category:Sports equipment]]
*Halsdukar och sjalar|5|[[:Category:Scarves]]
*Tidsfördriv|4|
*Jaktutrustning|4|[[:Category:Hunting equipment]]
*Böcker|4|[[:Category:Books]]
*Yrkeskläder|3|
*Ur|3|[[:Category:Clocks]]
*Träarbeten|3|[[:Category:Woodworking]]
*Sportutrustning|3|-
*Rökdon|3|[[:Category:Smoking equipment]]
*Metall|3|[[:Category:Metal objects]]
*Hälso- och sjukvårdsartiklar|3|[[:Category:Medical equipment]]
*Brev|3|[[:Category:Letters (written messages)]]
*Banér|3|[[:Category:Banners]]
*Växter och mineraler|2|-
*Reguljära mynt|2|[[:Category:Coins]]
*Tidningar|1|-
*Spel|1|[[:Category:Games]]
*Räkenskaper|1|[[:Category:Accounting]]
*Rustningar|1|[[:Category:Armour]]
*Musik|1|-
*Kort|1|[[:Category:Postcards]]
*Kastpenningar|1|
*Båtar|1|[[:Category:Boats]]
*47. XLVII Porslin - Europa|275|[[:Category:Porcelain in the Hallwyl museum]]
*46. XLVI Fajans m. m.|152|[[:Category:Faience in the Hallwyl museum]]
*64. LXIV Arkiv|96|[[:Category:Archives]]
*23. XXIII Barnen von Hallwyls kläder m. m.|54|[[:Category:Clothing in the Hallwyl museum]]
*32. XXXII Tavlor|49|[[:Category:Paintings in the Hallwyl museum]]
*66. LXVI Fotografier från resor|36|[[:Category:Historical photography]]
*21. XXI Walther von Hallwyls kläder|21|[[:Category:Clothing in the Hallwyl museum ]];[[:Category: Male clothing]]
*03. III Kökets och vinkällarens inventarier|20|[[:Category:Kitchen utensils]]
*25. XXV Familjens privata smycken m. m.|19|[[:Category:Jewellery in the Hallwyl museum]]
*22. XXII Wilhelmina von Hallwyls kläder|17|[[:Category:Clothing in the Hallwyl museum ]];[[:Category: Female clothing]]
*42. XLII Silfver|17|[[:Category:Silver in the Hallwyl museum]]
*45. XLV Ler- och stengods|16|[[:Category:Earthware ]];[[:Category: Stoneware ]];[[:Category: Pottery]]
*60. LX Textilier - Orienten|9|[[:Category:Textiles]]
*04. IV Ekonomiinventarier|7|[[:Category:Household objects]]
*27. XXVII Minnen af personliga upplevelser|7|-
*31. XXXI Familjeporträtt|7|[[:Category:Family portraits ]];[[:Category: Portraits in the Hallwyl museum]]
*06. VI Möbler, ur m. m.|6|[[:Category:Furniture in the Hallwyl museum]]
*07. VII Bordsserviser jämte tillbehör|6|[[:Category:Tableware]]
*38. XXXVIII Föremål till personligt bruk|5|[[:Category:Accessories]]
*48. XLVIII Keramik - Kina m. fl.|5|[[:Category:Chinese ceramics]]
*59. LIX Textilier - Europa|5|[[:Category:Textiles]]
*65. LXV Fotografiporträtt i ramar|5|[[:Category:Portrait photography]]
*36. XXXVI Smycken m. m.|4|[[:Category:Jewellery in the Hallwyl museum]]
*63. LXIII Bibliotek|4|
*28. XXVIII Reseminnen|3|-
*33. XXXIII Grafisk konst|3|[[:Category:Art]]
*37. XXXVII Allmoge- och orientaliska smycken|3|[[:Category:Jewellery in the Hallwyl museum]]
*44. XLIV Kyrkliga konstföremål m. m.|3|[[:Category:Religious art]]
*05. V Belysning och eldstadstillbehör|2|[[:Category:Lightning ]];[[:Category: Fireplaces]]
*08. VIII Linneförråd|2|[[:Category:Home textiles]]
*10. X Toilettsaker|2|[[:Category:Toiletries]]
