<!--From: ObjMultiple_1.2.csv -->
commonsconnection is the relevant parameter for {{technique}}. Don't forget to add a translation in Swedish at [[Template:Technique/sv]]

Set commonsconnection of irrelevant technique/material to "-".

===technique/material|frequency|commonsconnection===
*kamé|2|
*hake|2|
*gummi|2|
*guldskir|2|
*guldkantilj|2|
*guldbuljoner|2|
*guldband|2|
*guld o silvertråd|2|
*grafit|2|
*gestkinn|2|
*fågel uppst.|2|
*fnöske|2|
*chevrå|2|
*bomullstaft|2|
*atlassiden|2|
*alrot|2|
*Stålplåt|2|
*Stål (Metall, Järn), Stål (Metall, Järn)|2|steel
*Silver (Metall, Silver)|2|silver
*Elfenben (Animalier, Horn och Ben)|2|ivory
*Elfenben|2|
*älghår|1|
*vattrad siden|1|
*vadd|1|
*turkosimitation|1|
*sämskinn|1|
*svart|1|
*ståplåt|1|
*stramalj|1|
*snäckskal|1|
*smärting|1|
*sjöskum|1|
*silverlegering|1|
*silverlamé|1|
*silv er|1|
*silkespapper|1|
*silkesnät|1|
*silkegalon|1|
*sidnentyg|1|
*sidenmuslin|1|
*siden brodad|1|
*senor|1|
*scharlakanskläde|1|
*sarge|1|
*redgarn|1|
*plysch|1|
*peridot|1|
*papier maché|1|
*palmkvist|1|
*oxhorn|1|
*organdi|1|
*onyx|1|
*noshörningshorn|1|
*nefrit|1|
*mörkt blå|1|
*mässign|1|
*mockaläder|1|
*metallan|1|
*masonit|1|
*läcer|1|
*lskinn|1|
*lettemholz (Brosimum Anbletii)|1|
*lergods|1|
*lapis lazulis|1|
*körsbärsträ|1|
*korallträ|1|
*klavskinn|1|
*kartong|1|cardboard
*kaffa|1|
*hermelinsskinn|1|
*hermelinskinn|1|
*guldråd|1|gold thread
*guld;metall|1|gold
*guld och silver, legering|1|
*granit|1|
*galoner|1|
*flor|1|
*dun|1|
*citronträ|1|
*cederträ|1|cedar
*bärnsten|1|
*broderi|1|
*bomullssatäng|1|
*bomullspiké|1|
*bomullsgabardin|1|
*bomullsatlas|1|
*bleckplåt|1|
*asbest|1|
*Silverfrans (Textil, Metall)|1|
*Siden|1|silk
*Päronträ (Trä, Rosväxt)|1|pearwood
*Platina (Metall, Vitmetall)|1|platinum
*Ask (Trä, Syrenväxt)|1|european ash
