<!--From: Ausstellung_1.1.csv - col: ausOrt-->
Set commonsconnection of irrelevant places to "-"

Multiple entries are separated by ";"
===Place|Frequency|Commonsconnection===
*Nederländerna|14|{{Country{{!}}NL}}
*Spanien|13|{{Country{{!}}ES}}
*Persien (Iran)|13|{{Persia}}
*Egypten|13|{{Country{{!}}EG}}
*Iran|12|{{Country{{!}}IR}}
*Tunisien|10|{{Country{{!}}TN}}
*Frankrike (?)|10|{{Country{{!}}FR}} (?)
*Tjeckien|9|{{Country{{!}}CZ}}
*Marocko|9|{{Country{{!}}MA}}
*Flandern|9|{{Flanders}}
*Storbritannien|7|{{Country{{!}}GB}}
*Polen|7|{{Country{{!}}PL}}
*Tyskland; Westphalen|6|{{Country{{!}}DE}}, {{City{{!}}Westphalia}}
*Skottland|6|{{Scotland}}
*Norge|6|{{Country{{!}}NO}}
*Tyskland (?)|5|{{Country{{!}}DE}} (?)
*Ukraina|4|{{Country{{!}}UA}}
*Tyskland, Bayern|4|{{Country{{!}}DE}}, {{city{{!}}Bavaria}}
*Kina|4|{{Country{{!}}CN}}
*Belgien|4|{{Country{{!}}BE}}
*Algeriet|4|{{Country{{!}}DZ}}
*USA|3|{{Country{{!}}US}}
*Tyskland, Solingen|3|{{Country{{!}}DE}}, {{city{{!}}Solingen}}
*Tyskland, Sachsen|3|{{Country{{!}}DE}}, {{city{{!}}Saxony}}
*Turkmenistan|3|{{Country{{!}}TM}}
*Sverige, Frankrike|3|{{Country{{!}}SE}}, {{Country{{!}}FR}}
*Ungern|2|{{Country{{!}}HU}}
*Tyskland, Hanau|2|{{Country{{!}}DE}}, {{City{{!}}Hanau}}
*Turkiet|2|{{Country{{!}}TR}}
*Schlesien ?|2|
*Persien|2|{{Persia}}
*Paris, Frankrike|2|
*Osmanska riket (Balkan)|2|{{Ottoman Empire}} ({{Balkans}})
*Libanon|2|{{Country{{!}}LB}}
*Japan|2|{{Country{{!}}JP}}
*Indien|2|{{Country{{!}}IN}}
*Franrkike|2|{{Country{{!}}FR}}
*Estland|2|{{Country{{!}}EE}}
*England?|2|{{England}}?
*Tyskland, Sachsen (?)|1|{{Country{{!}}DE}}, {{City{{!}}Saxony}} (?)
*Tyskland, Braunschweig|1|{{Country{{!}}DE}}, {{City{{!}}Braunschweig}}
*Tyskland, Baden|1|{{Country{{!}}DE}}, Baden
*Tyskland eller Schweiz|1|{{Conj{{!}}{{Country{{!}}DE}}{{!}}{{Country{{!}}CH}}{{!}}type=or}}
*Tyskland (Sydtyskland)|1|
*Tysk-Romerska riket|1|
*Turkiet (Ottomanska riket)|1|
*Sverige, synkroniseringstest|1|{{Country{{!}}SE}}
*Sverige, Norrbotten|1|
*Sverige, Nordanrog|1|
*Sverige (?)|1|{{Country{{!}}SE}} (?)
*Portugal|1|{{Country{{!}}PT}}
*Kaukasien|1|
*Frankrike ?)|1|{{Country{{!}}FR}} (?)
*Finland eller Sverige|1|{{Conj{{!}}{{Country{{!}}FI}}{{!}}{{Country{{!}}SE}}{{!}}type=or}}
*Finland|1|{{Country{{!}}FI}}
*Dagestan|1|{{Dagestan}}
*Baltikum|1|
*Balkan|1|{{Balkans}}
*Azerbajdzjan|1|{{Country{{!}}AZ}}
*Albanien|1|{{Country{{!}}AL}}
*Stockholm|145|{{city{{!}}Stockholm}}
*Meissen|126|{{city{{!}}Meissen}}
*Sverige, Stockholm|96|{{city{{!}}Stockholm}}
*Frankrike, Paris|63|{{city{{!}}Paris}}
*Rörstrand|52|{{city{{!}}Rörstrand}}
*Tyskland, Solingen|35|{{city{{!}}Solingen}}
*Berlin|30|{{city{{!}}Berlin}}
*Marieberg|25|{{city{{!}}Marieberg}}
*Wien|22|{{city{{!}}Wien}}
*Tyskland, Augsburg|20|{{city{{!}}Augsburg}}
*Storbritannien, London|20|{{city{{!}}London}}
*Tyskland, Nürnberg|19|{{city{{!}}Nürnberg}}
*Gustavsberg|19|{{city{{!}}Gustavsberg}}
